,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,102,47.06,41.2,26.32,33.33,33.33,43.93,23.95,39.25
1,103,50.0,47.86,14.29,0.0,58.33,54.29,27.01,45.41
2,104,20.0,47.59,14.29,60.0,37.5,55.0,27.73,45.55
3,105,57.14,56.64,75.0,0.0,36.36,47.5,23.61,52.52
4,106,20.0,35.97,0.0,0.0,21.43,39.88,24.05,34.84
5,107,50.0,57.08,47.62,0.0,40.74,66.14,38.86,59.62
6,108,33.33,63.82,66.67,0.0,44.44,45.95,30.65,55.74
7,109,37.5,43.83,15.38,25.0,28.0,49.47,31.11,43.04
8,111,42.86,42.83,31.25,0.0,47.83,53.53,21.05,43.0
9,112,61.54,40.41,22.22,100.0,45.45,42.06,23.17,38.78
10,114,0.0,47.17,50.0,0.0,6.25,38.78,29.03,42.87
11,115,0.0,39.0,0.0,0.0,42.86,40.0,21.69,36.23
12,201,0.0,49.48,100.0,0.0,58.33,37.5,20.22,45.28
13,202,30.77,46.93,29.63,33.33,24.0,51.88,24.01,44.55
14,203,0.0,47.86,0.0,0.0,25.0,50.0,19.61,44.91
15,204,55.0,48.83,35.29,0.0,40.0,56.8,35.32,51.82
16,207,42.86,46.24,40.0,0.0,13.33,37.81,22.05,42.21
17,208,16.67,47.37,30.77,33.33,57.14,45.99,25.5,43.73
18,210,50.0,51.89,50.0,0.0,38.46,47.25,30.32,48.53
19,301,42.86,61.52,48.39,0.0,40.0,70.03,49.76,66.09
20,302,33.33,34.58,41.67,20.0,58.33,61.81,13.19,37.07
21,303,30.0,53.95,35.29,0.0,66.67,71.19,51.13,67.76
22,304,0.0,64.29,66.67,100.0,0.0,64.51,53.85,62.59
23,305,100.0,70.83,80.0,0.0,60.0,80.62,64.86,78.74
24,306,36.23,58.37,30.61,40.0,49.35,47.3,30.26,48.87
25,307,33.33,44.22,43.48,100.0,42.86,66.97,39.51,59.58
26,308,20.0,50.24,36.36,0.0,30.77,46.13,28.7,43.71
27,309,44.05,70.46,39.34,100.0,50.77,45.4,43.17,62.05
28,310,42.19,68.51,32.54,25.0,47.06,42.35,39.06,55.24
29,401,28.57,66.73,27.03,0.0,55.56,47.87,41.8,61.79
30,402,33.33,47.84,19.35,16.67,21.57,21.81,16.97,37.87
31,404,28.57,57.5,45.71,0.0,36.36,48.45,27.02,51.75
32,405,39.29,67.09,49.12,75.0,47.27,47.02,38.95,61.4
33,406,52.63,67.66,41.51,50.0,46.15,52.88,41.85,62.69
34,501,31.82,57.78,33.33,0.0,40.0,50.15,23.81,52.41
35,502,40.0,58.75,30.95,33.33,30.95,41.43,30.06,53.15
36,503,40.74,57.16,23.08,33.33,37.21,47.38,27.54,51.09
37,504,13.64,48.25,33.33,0.0,43.33,44.31,23.68,42.89
38,506,0.0,47.81,0.0,0.0,60.0,55.24,17.31,45.79
39,507,10.0,51.57,29.41,66.67,42.86,43.58,29.71,44.62
40,509,56.25,63.59,38.1,0.0,36.36,49.58,35.71,57.5
41,601,36.67,54.44,43.42,0.0,27.87,42.16,22.0,45.58
42,603,57.14,50.0,37.84,28.57,46.3,61.94,27.6,52.59
43,604,54.55,58.35,36.84,0.0,42.31,46.44,29.55,49.75
44,605,27.27,53.71,42.42,33.33,39.58,50.0,27.78,48.59
45,607,42.86,63.24,36.36,0.0,35.0,49.4,33.33,57.92
46,608,58.33,65.44,50.0,0.0,61.11,60.46,31.52,58.1
47,701,48.0,56.89,52.0,100.0,48.15,70.23,47.7,64.69
48,702,48.48,50.42,46.88,40.0,51.61,57.84,34.13,53.87
49,703,28.7,49.84,39.82,37.5,47.76,52.49,28.1,47.41
50,705,36.36,51.54,27.03,25.0,30.0,63.24,35.16,55.54
51,706,33.33,64.83,40.28,66.67,58.54,63.97,39.74,60.37
52,707,32.08,49.3,36.54,80.0,40.0,46.99,30.3,44.69
53,708,50.0,61.36,50.0,0.0,75.0,69.64,35.29,63.92
54,709,9.09,75.18,37.5,0.0,42.86,66.97,36.36,63.48
55,801,0.0,62.11,10.0,0.0,0.0,59.81,36.99,55.25
56,801B,50.0,68.33,56.25,0.0,25.0,61.7,34.43,58.44
57,802,57.14,60.09,50.0,23.08,45.45,54.4,29.53,52.19
58,803,0.0,30.77,5.26,0.0,0.0,7.89,3.7,9.65
59,804,26.32,62.05,32.26,50.0,33.33,53.67,28.63,53.29
60,804H,22.22,66.52,51.85,75.0,62.86,61.67,36.36,60.01
61,805,75.0,67.56,50.0,66.67,33.33,53.81,37.65,59.11
62,806,45.45,65.25,43.75,100.0,83.33,65.08,30.13,60.02
63,807,52.94,58.78,11.11,0.0,38.71,39.34,27.44,48.09
64,808,39.39,66.11,42.11,0.0,53.85,61.69,36.54,58.86
65,809,0.0,65.17,45.45,0.0,33.33,44.68,35.23,59.79
66,810,50.0,79.25,40.0,0.0,50.0,64.41,50.0,66.49
67,88888,0.0,11.11,0.0,0.0,0.0,0.0,0.0,4.35
68,99999,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.33
69,TOTAL,38.28,55.69,35.84,36.08,41.68,55.78,30.62,51.86
