AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,19.85,33.33,0.0,12.5,40.94,15.38,26.8
25-29,0.0,20.84,50.0,0.0,50.0,40.56,29.63,28.17
30-34,33.33,38.17,0.0,0.0,50.0,48.21,23.81,41.36
35-39,0.0,45.37,0.0,0.0,100.0,59.9,35.71,50.66
40-44,100.0,48.25,0.0,100.0,50.0,69.65,36.36,57.75
45-49,0.0,52.48,33.33,0.0,0.0,70.69,50.0,60.82
50-54,0.0,53.44,0.0,0.0,0.0,66.23,37.5,59.32
55-59,33.33,61.9,0.0,0.0,0.0,72.67,25.0,66.22
60-64,0.0,66.56,66.67,0.0,100.0,78.29,35.71,71.78
65-OVER,0.0,64.15,0.0,0.0,0.0,73.75,59.26,69.91
TOTAL,18.75,47.11,28.0,33.33,31.58,65.87,30.81,55.43
