,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,CROSS-GREEN,0.0,69.06,0.0,0.0,100.0,71.01,50.0,68.95
1,SWAINSBORO,48.48,46.2,30.77,40.0,29.17,67.54,23.12,54.94
2,SUMMERTOWN,0.0,58.25,50.0,0.0,50.0,68.53,18.92,62.4
3,STILLMORE,0.0,52.24,40.0,0.0,0.0,58.86,20.0,52.6
4,BLUNDALE,0.0,28.57,0.0,0.0,100.0,73.59,30.77,70.55
5,CANOOCHEE,0.0,55.74,0.0,0.0,0.0,76.0,25.93,67.41
6,GARFIELD,0.0,64.47,100.0,0.0,0.0,74.07,21.21,68.76
7,NUNEZ,0.0,56.52,25.0,0.0,50.0,66.02,20.69,59.94
8,TWIN CITY,50.0,57.5,33.33,0.0,25.0,71.21,30.16,62.79
9,ADRIAN,0.0,43.08,28.57,0.0,0.0,65.31,30.77,60.57
10,88888,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
11,TOTAL,48.57,49.89,32.0,28.57,31.71,68.77,24.65,58.8
