-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,33.33,22.73,0.0,0.0,37.76,19.35,35.32
30-34,33.33,0.0,16.67,0.0,50.0,44.18,20.34,41.29
35-39,0.0,33.33,14.29,0.0,40.0,47.4,43.06,46.26
40-44,50.0,41.67,36.36,66.67,33.33,56.16,36.59,54.38
45-49,44.44,66.67,66.67,0.0,100.0,63.12,38.1,61.27
50-54,50.0,33.33,62.5,50.0,0.0,65.54,37.93,63.32
55-59,40.0,80.0,73.68,0.0,50.0,69.27,50.0,68.04
60-64,0.0,25.0,66.67,50.0,88.89,72.46,53.33,71.13
65-OVER,50.0,60.0,41.67,50.0,83.33,76.98,65.33,76.17
TOTAL,36.11,45.61,43.33,38.46,52.38,66.07,46.59,64.3
