AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,538.0,1.0,19.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,256.0,180.0,0.0,32.0,19.0
30-34,642.0,0.0,21.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,271.0,220.0,0.0,69.0,32.0
35-39,677.0,0.0,27.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,294.0,233.0,0.0,73.0,32.0
40-44,758.0,0.0,27.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,315.0,269.0,0.0,79.0,29.0
45-49,900.0,0.0,20.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,400.0,329.0,0.0,71.0,45.0
50-54,938.0,0.0,21.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,406.0,356.0,0.0,78.0,44.0
55-59,1068.0,0.0,30.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,439.0,395.0,0.0,104.0,67.0
60-64,1022.0,0.0,20.0,17.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,3.0,0.0,405.0,403.0,0.0,100.0,62.0
65-OVER,2987.0,0.0,48.0,45.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1318.0,1219.0,0.0,211.0,131.0
TOTAL,9530.0,1.0,233.0,215.0,0.0,12.0,15.0,0.0,1.0,3.0,0.0,19.0,25.0,0.0,7.0,12.0,1.0,4104.0,3604.0,0.0,817.0,461.0
