,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,UNION POINT,55.38,60.71,0.0,58.25
1,SILOAM,60.36,67.92,100.0,64.51
2,WHITE PLAINS,66.88,73.63,100.0,70.79
3,OLD SALEM,77.28,77.49,75.0,77.39
4,99999,0.0,0.0,0.0,0.0
5,TOTAL,71.02,72.87,62.5,72.0
