PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
GILL I,2.0,39.0,50.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,5.0,5.0,0.0,603.0,464.0,0.0,257.0,128.0,1578.0
GILL II,0.0,21.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,117.0,80.0,0.0,427.0,292.0,974.0
7TH-ODESSADALE,0.0,6.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,78.0,0.0,45.0,52.0,288.0
8TH-GREENVILLE,0.0,55.0,46.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,442.0,399.0,0.0,558.0,387.0,1905.0
LONE OAK,0.0,41.0,36.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,291.0,304.0,0.0,273.0,222.0,1179.0
LUTHERSVILLE,0.0,108.0,146.0,0.0,4.0,7.0,0.0,3.0,3.0,0.0,13.0,4.0,0.0,1.0,1.0,0.0,712.0,710.0,1.0,495.0,391.0,2599.0
UPPER 9TH -ALVATON,0.0,57.0,87.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,407.0,402.0,0.0,248.0,206.0,1417.0
MIDDLE 9TH-GAY,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,145.0,141.0,0.0,37.0,39.0,386.0
LOWER 9TH-WOODBURY,0.0,42.0,45.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,339.0,287.0,0.0,339.0,257.0,1317.0
2ND-WARM SPRINGS,0.0,26.0,30.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,449.0,370.0,0.0,156.0,121.0,1173.0
THIRD-DURAND,0.0,24.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,228.0,190.0,1.0,125.0,91.0,685.0
RALEIGH,0.0,18.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,192.0,182.0,0.0,38.0,25.0,477.0
COVE,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0,97.0,0.0,4.0,1.0,207.0
TOTAL,2.0,452.0,526.0,0.0,37.0,24.0,1.0,9.0,4.0,0.0,39.0,24.0,0.0,14.0,15.0,5.0,4113.0,3704.0,2.0,3002.0,2212.0,14185.0
