PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SYLVESTER,44.04,54.23,50.00,49.79
SCOOTERVILLE,65.54,64.89,0.00,65.21
MINTON,67.45,72.08,0.00,69.70
BRIDGEBORO,58.93,60.33,0.00,59.60
COUNTY LINE,50.13,46.52,100.0,48.34
ISABELLA,64.49,67.11,0.00,65.78
PINEY WOODS,51.54,57.83,0.00,55.07
SYLVESTER EAST,60.56,58.77,100.0,59.59
POULAN,53.33,64.25,0.00,58.96
SUMNER,61.40,63.41,0.00,62.42
SHINGLER,73.71,72.92,0.00,73.30
RED ROCK,53.44,54.15,0.00,53.81
DOLES,60.10,63.55,0.00,61.87
OAKFIELD,60.34,63.46,0.00,61.82
88888,0.00,0.00,0.00,0.00
WARWICK,58.86,58.58,0.00,58.71
TOTAL,56.63,59.59,50.00,58.19
