,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,OGLETHORPE,55.74,64.15,0.0,60.34
1,MARSHALLVILLE,59.48,65.2,100.0,62.57
2,MONTEZUMA #4,55.08,65.15,0.0,60.66
3,MONTEZUMA #5,58.39,63.59,0.0,61.31
4,88888,0.0,0.0,0.0,0.0
5,TOTAL,56.69,64.16,33.33,60.81
