,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,ST. MARK,0.0,57.2,0.0,0.0,50.0,68.12,41.67,57.7
1,COURTHOUSE,50.0,55.82,50.0,0.0,66.67,68.1,30.23,56.76
2,SECOND BEULAH,0.0,66.17,0.0,0.0,100.0,60.0,37.5,64.05
3,MAYFIELD COMMUNITY,0.0,54.82,0.0,0.0,0.0,74.36,14.29,55.06
4,POWER OF GOD,0.0,56.95,0.0,100.0,50.0,71.26,34.78,57.98
5,WARREN CHAPEL,0.0,68.13,0.0,0.0,0.0,71.25,37.5,68.16
6,YOUTH CENTER,100.0,59.61,0.0,0.0,0.0,72.0,32.43,60.23
7,SECOND DARRIEN,0.0,71.3,100.0,0.0,50.0,64.29,26.67,67.11
8,SPARTA 4C,0.0,64.86,100.0,0.0,0.0,65.62,55.56,64.71
9,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,TOTAL,60.0,59.41,42.86,100.0,42.11,68.66,33.66,59.92
