-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,29.41,23.08,0.0,50.0,36.18,20.0,31.89
30-34,0.0,33.56,100.0,0.0,0.0,46.12,33.33,40.97
35-39,0.0,44.74,0.0,0.0,66.67,53.02,22.73,47.73
40-44,0.0,52.71,66.67,0.0,33.33,59.83,35.71,56.25
45-49,0.0,51.85,50.0,0.0,0.0,68.09,31.25,61.17
50-54,0.0,60.69,50.0,0.0,33.33,65.93,33.33,62.93
55-59,33.33,60.95,0.0,0.0,66.67,64.45,45.0,62.48
60-64,0.0,67.43,0.0,0.0,0.0,70.4,40.0,67.95
65-OVER,0.0,61.29,40.0,0.0,0.0,67.39,43.59,65.44
TOTAL,12.5,52.16,39.47,0.0,36.84,62.75,34.66,58.22
