PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CHICOPEE,40.35,48.83,25.0,44.65
OAKWOOD I,42.93,50.25,50.0,46.87
OAKWOOD II,55.69,60.53,66.67,58.17
FLOWERY BRANCH I,56.13,60.07,64.29,58.21
FLOWERY BRANCH II,51.3,57.08,60.0,54.32
ROBERTS,56.53,57.2,66.67,56.88
MORGAN I,58.09,60.24,71.43,59.2
MORGAN II,54.38,58.82,60.0,56.67
CANDLER,51.82,56.71,57.14,54.33
TADMORE,35.74,43.36,25.0,39.65
GLADE,46.51,49.68,42.86,48.17
LULA,53.47,55.64,50.0,54.61
CLERMONT,63.1,63.43,40.0,63.23
QUILLIANS,64.3,66.79,50.0,65.58
BARK CAMP,53.95,54.87,57.14,54.44
CHESTATEE,58.56,59.69,100.0,59.16
FORK,59.85,62.09,100.0,60.99
WHELCHEL,59.73,60.15,37.5,59.9
WEST WHELCHEL,70.86,70.0,20.0,70.33
GAINESVILLE I,50.82,54.7,100.0,53.02
GAINESVILLE II,33.69,54.1,0.0,44.91
GAINESVILLE III,30.31,36.5,23.08,33.5
GAINESVILLE IV,43.76,52.38,50.0,48.28
GAINESVILLE V,41.42,46.64,50.0,44.22
GILLSVILLE,60.68,65.22,0.0,63.06
BIG HICKORY,64.63,66.6,50.0,65.63
FRIENDSHIP I,64.68,67.01,46.15,65.88
FRIENDSHIP II,57.83,58.9,20.0,58.3
FRIENDSHIP III,54.71,56.61,37.5,55.66
FRIENDSHIP IV,66.56,66.97,66.67,66.78
88888,3.57,0.0,0.0,2.17
TOTAL,53.42,57.11,47.19,55.33
