-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,14.29,31.08,34.62,0.0,13.04,37.09,24.38,34.79
30-34,28.57,39.39,38.71,0.0,45.45,44.85,34.04,43.05
35-39,20.0,43.48,37.21,0.0,53.85,52.45,42.11,50.18
40-44,33.33,51.87,20.59,0.0,61.54,56.17,40.23,53.96
45-49,83.33,55.09,37.5,0.0,66.67,61.34,41.35,59.35
50-54,66.67,57.56,38.46,50.0,61.54,65.16,39.29,62.43
55-59,33.33,63.68,48.39,0.0,62.5,70.14,43.53,67.86
60-64,33.33,76.21,29.41,0.0,0.0,72.52,54.76,71.66
65-OVER,20.0,69.66,47.62,50.0,40.0,73.28,50.6,71.99
TOTAL,36.84,56.09,36.61,16.67,45.36,62.42,40.28,59.97
