-,MALE,FEMALE,UNKNOWN
UNKNOWN,23.54,32.05,0.0
OTHER,30.85,41.08,42.86
NATIVE-AM,23.73,36.67,0.0
HISP-LT,28.23,43.36,46.67
ASIA-PI,29.0,35.22,50.0
WHITE,36.69,40.0,48.28
BLACK,31.07,45.62,44.44
