PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
BREMEN,39.13,43.53,55.56,42.86,44.83,57.79,33.33,54.84
BUCHANAN,33.33,55.68,50.00,0.00,33.33,59.57,36.59,57.85
BUNCOMBE,0.00,63.64,50.00,50.00,71.43,55.40,36.21,53.86
CORINTH,37.50,57.14,42.86,0.00,40.00,59.15,28.42,56.86
TWENTIETH,0.00,0.00,50.00,0.00,100.0,60.09,32.43,58.39
FELTON,0.00,0.00,0.00,0.00,100.0,60.87,45.45,60.15
LITTLE CREEK,0.00,0.00,0.00,0.00,0.00,65.20,60.00,64.85
MT VIEW,0.00,0.00,0.00,0.00,0.00,64.77,50.00,63.90
SEVENTH,20.00,44.44,15.38,0.00,80.00,60.15,31.07,56.88
BEREA-STEADMAN,0.00,50.00,50.00,50.00,0.00,64.25,31.82,61.53
TALLAPOOSA,40.00,53.26,44.44,50.00,25.00,54.44,23.46,52.29
WACO,50.00,41.18,100.0,0.00,50.00,55.26,20.51,52.61
TOTAL,32.98,46.74,45.68,31.82,46.48,58.23,31.79,55.83
