PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
STERLING ELEMENTARY,54.59,56.41,60.00,55.55
MARSHES OF GLYNN,54.51,56.45,33.33,55.51
SATILLA MARSH SCHOOL,57.79,57.80,50.00,57.78
BLYTHE ISLAND BAPTIST,58.46,61.07,100.0,59.84
CHRISTIAN RENEWAL,68.14,68.28,42.86,68.17
OGLETHORPE POINT,69.10,70.45,100.0,69.86
ST WILLIAMS CHURCH,66.11,68.28,0.00,67.26
FIRST BAPTIST,66.03,66.27,81.82,66.21
JEKYLL ISLAND,69.30,69.17,0.00,69.23
STERLING CH. OF GOD,45.13,46.31,50.00,45.78
SE BAPTIST BLDG,46.56,48.78,100.0,47.80
CAREER ACADEMY,54.73,56.01,75.00,55.44
C B GREER SCHOOL,51.44,53.92,66.67,52.76
BALLARD COMMUNITY,44.10,45.57,60.00,44.95
NORTHSIDE CHURCH,45.38,51.98,42.86,49.05
THE CHAPEL,37.65,43.28,33.33,40.79
COLLEGE PLACE,45.65,51.49,50.00,49.07
HOWARD COFFIN PARK,40.33,46.06,0.00,43.46
BURROUGHS MOLETTE,29.30,40.41,0.00,36.20
SELDEN PARK,30.32,40.20,40.00,35.95
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,52.47,54.90,50.59,53.80
