-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,50.0,28.81,27.27,50.0,28.57,35.96,14.55,33.81
30-34,100.0,45.16,26.67,0.0,40.0,46.2,35.42,45.23
35-39,25.0,36.59,42.86,0.0,16.67,53.81,30.91,50.06
40-44,0.0,54.12,53.85,0.0,60.0,58.92,36.11,57.11
45-49,0.0,51.09,37.5,100.0,50.0,62.01,53.06,60.3
50-54,33.33,55.32,44.44,0.0,0.0,63.42,41.94,61.23
55-59,0.0,55.65,16.67,0.0,42.86,67.06,39.58,63.86
60-64,0.0,65.26,50.0,100.0,50.0,71.02,37.93,69.17
65-OVER,16.67,67.63,27.27,100.0,33.33,73.38,42.86,71.97
TOTAL,30.77,52.7,35.29,43.75,35.0,61.87,36.25,59.44
