,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,EDGEHILL,83.33,72.13,0.0,77.39
1,GIBSON,65.9,65.27,0.0,65.56
2,MILL,67.73,67.12,0.0,67.41
3,MITCHELL,66.98,67.54,100.0,67.35
4,TOTAL,67.87,66.86,100.0,67.36
