AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,31.93,27.17,27.18,26.67,29.34,35.78,25.82,31.09
25-29,8.99,25.34,20.15,18.18,17.22,30.04,14.09,26.45
30-34,23.08,30.40,22.70,22.22,30.56,38.09,16.06,33.31
35-39,31.43,38.88,29.11,31.25,38.46,46.04,23.69,41.75
40-44,32.47,43.08,28.99,9.09,43.18,51.94,27.56,46.75
45-49,38.16,49.20,41.11,28.57,50.57,60.02,36.32,54.72
50-54,44.62,56.30,29.41,33.33,54.22,63.88,36.51,59.18
55-59,33.33,58.99,57.50,50.00,56.06,66.57,41.70,62.45
60-64,57.63,66.19,53.52,41.67,68.85,71.28,38.85,68.18
65-OVER,57.89,67.21,41.90,41.18,56.25,71.00,33.33,68.31
TOTAL,35.63,43.94,30.42,28.85,37.52,54.74,27.31,48.76
