AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,22.54,0.0,0.0,0.0,37.78,25.0,30.41
30-34,0.0,30.49,0.0,0.0,0.0,46.03,50.0,36.18
35-39,0.0,36.0,0.0,0.0,50.0,47.62,0.0,41.21
40-44,0.0,30.3,0.0,0.0,0.0,50.0,0.0,38.51
45-49,100.0,46.43,100.0,0.0,0.0,59.79,28.57,54.88
50-54,0.0,48.1,0.0,0.0,0.0,65.18,28.57,56.78
55-59,0.0,54.05,100.0,0.0,0.0,66.02,14.29,58.04
60-64,0.0,67.71,0.0,0.0,100.0,74.0,62.5,70.39
65-OVER,0.0,69.6,0.0,0.0,0.0,67.64,52.38,67.85
TOTAL,22.22,50.41,33.33,0.0,33.33,60.51,35.82,55.0
