-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,30.9,26.92,33.33,16.67,42.68,19.54,34.49
30-34,0.0,37.45,18.18,0.0,0.0,54.18,32.14,43.58
35-39,60.0,44.95,50.0,0.0,33.33,57.63,23.64,49.75
40-44,0.0,51.56,40.0,50.0,0.0,61.59,26.67,55.12
45-49,60.0,57.61,50.0,0.0,50.0,68.24,22.0,61.11
50-54,16.67,62.34,12.5,0.0,33.33,70.14,20.37,63.64
55-59,100.0,65.3,40.0,0.0,33.33,71.38,39.39,66.83
60-64,50.0,65.39,50.0,100.0,100.0,76.22,37.93,69.54
65-OVER,71.43,66.51,28.57,0.0,100.0,74.54,35.97,69.88
TOTAL,42.42,54.68,33.33,50.0,31.03,67.16,29.51,59.45
