-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,2.0,34.0,40.0,0.0,4.0,3.0,0.0,1.0,3.0,0.0,10.0,4.0,0.0,1.0,2.0,1.0,397.0,365.0,0.0,2.0,3.0,872.0
30-34,1.0,26.0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,1.0,425.0,332.0,0.0,1.0,2.0,835.0
35-39,0.0,19.0,33.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,400.0,358.0,0.0,2.0,3.0,828.0
40-44,0.0,24.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,453.0,347.0,0.0,0.0,2.0,863.0
45-49,0.0,29.0,33.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,8.0,3.0,0.0,3.0,2.0,1.0,520.0,448.0,0.0,1.0,0.0,1052.0
50-54,1.0,49.0,38.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,8.0,2.0,1.0,638.0,521.0,0.0,2.0,1.0,1279.0
55-59,0.0,69.0,52.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,9.0,5.0,0.0,1.0,2.0,0.0,809.0,690.0,0.0,2.0,0.0,1649.0
60-64,1.0,75.0,58.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,6.0,2.0,1.0,960.0,846.0,0.0,0.0,0.0,1965.0
65-OVER,0.0,209.0,227.0,0.0,8.0,6.0,0.0,2.0,1.0,0.0,14.0,12.0,0.0,13.0,2.0,4.0,3580.0,3257.0,0.0,3.0,5.0,7343.0
TOTAL,5.0,534.0,545.0,0.0,23.0,27.0,0.0,7.0,8.0,0.0,63.0,37.0,0.0,36.0,15.0,11.0,8182.0,7164.0,0.0,13.0,16.0,16686.0
