-,MALE,FEMALE,UNKNOWN
UNKNOWN,8.7,26.32,0.0
OTHER,100.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,66.67,0.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,44.92,51.56,0.0
BLACK,32.39,50.52,0.0
