PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CECIL,49.09,50.25,100.0,49.75
DELLE BEAMGUARD,62.83,61.96,0.00,62.36
ELM PINE,38.86,58.75,0.00,50.19
LENOX,60.93,64.40,0.00,62.74
MASSEE,60.93,62.39,0.00,61.71
NEW LIFE BAPTIST CH.,65.01,62.63,0.00,63.79
RIVERBEND,59.81,63.09,0.00,61.47
SPARKS,40.37,50.25,0.00,46.08
TOTAL,56.59,58.81,100.0,57.79
