-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,87.0,60.0,0.0,73.0,27.0,263.0
30-34,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,103.0,89.0,0.0,90.0,25.0,318.0
35-39,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,136.0,121.0,0.0,94.0,31.0,395.0
40-44,1.0,3.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,117.0,106.0,0.0,99.0,25.0,368.0
45-49,0.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,144.0,149.0,0.0,103.0,42.0,452.0
50-54,0.0,6.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,168.0,163.0,0.0,100.0,55.0,500.0
55-59,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,189.0,161.0,0.0,139.0,63.0,565.0
60-64,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,198.0,202.0,0.0,142.0,97.0,652.0
65-OVER,1.0,14.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,672.0,598.0,0.0,277.0,154.0,1732.0
TOTAL,2.0,50.0,38.0,0.0,9.0,9.0,0.0,2.0,1.0,0.0,13.0,10.0,0.0,7.0,3.0,2.0,1814.0,1649.0,0.0,1117.0,519.0,5245.0
