-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,23.21,25.13,37.2,0.0,22.5,34.78,20.99,30.93
30-34,24.49,37.05,38.57,0.0,36.36,42.93,28.52,39.92
35-39,28.57,43.1,34.68,28.57,28.57,50.27,30.0,46.56
40-44,40.0,45.25,46.05,100.0,25.0,57.89,31.34,53.31
45-49,61.11,53.06,44.16,0.0,47.37,62.64,37.86,58.98
50-54,60.0,54.75,41.98,60.0,26.67,64.67,37.16,61.09
55-59,28.89,62.6,45.45,66.67,30.77,69.0,38.94,65.47
60-64,44.44,64.18,50.0,100.0,37.5,73.3,38.86,70.07
65-OVER,43.86,67.97,44.19,57.14,53.85,72.37,46.76,70.58
TOTAL,38.46,51.42,40.75,37.5,32.42,62.21,32.97,57.92
