-,MALE,FEMALE,UNKNOWN
UNKNOWN,20.27,27.87,0.0
OTHER,0.0,15.38,0.0
NATIVE-AM,0.0,50.0,0.0
HISP-LT,32.0,31.91,0.0
ASIA-PI,37.5,28.57,0.0
WHITE,39.49,40.0,0.0
BLACK,21.67,38.32,0.0
