-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,22.9,19.05,0.0,23.08,32.43,20.83,29.52
30-34,30.0,25.19,27.27,75.0,28.57,41.17,25.97,38.3
35-39,62.5,39.47,40.0,0.0,0.0,45.37,22.97,43.27
40-44,60.0,47.15,54.55,0.0,25.0,52.0,31.11,49.87
45-49,54.55,49.26,33.33,0.0,66.67,58.11,26.37,54.81
50-54,25.0,48.0,60.0,0.0,16.67,61.55,32.94,58.05
55-59,50.0,50.37,50.0,50.0,75.0,65.09,33.33,61.87
60-64,54.55,69.23,71.43,50.0,40.0,70.18,29.63,67.77
65-OVER,42.86,57.78,50.0,100.0,85.71,69.55,43.03,67.65
TOTAL,44.44,46.22,40.66,50.0,37.93,58.89,30.28,55.74
