-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,12.5,9.09,21.43,50.0,37.5,41.07,29.17,36.74
30-34,0.0,22.08,27.27,0.0,33.33,48.96,36.19,44.65
35-39,50.0,21.88,54.55,100.0,25.0,62.06,36.27,56.4
40-44,100.0,41.82,33.33,50.0,66.67,62.83,35.58,58.6
45-49,0.0,46.0,40.0,0.0,0.0,64.96,43.56,61.66
50-54,37.5,60.27,0.0,100.0,50.0,66.44,46.15,63.77
55-59,0.0,57.43,100.0,0.0,33.33,68.03,33.33,63.81
60-64,50.0,68.24,0.0,0.0,50.0,69.01,47.83,67.23
65-OVER,20.0,62.0,66.67,0.0,66.67,73.8,40.25,70.78
TOTAL,27.27,47.96,31.58,71.43,44.12,64.51,38.38,60.65
