-,MALE,FEMALE,UNKNOWN
UNKNOWN,11.9,22.22,0.0
OTHER,60.0,50.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,75.0,0.0
ASIA-PI,0.0,100.0,0.0
WHITE,43.45,43.78,0.0
BLACK,22.65,35.89,0.0
