-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,521.0,547.0,0.0,31.0,31.0,0.0,3.0,2.0,0.0,68.0,46.0,1.0,25.0,35.0,4.0,1698.0,1562.0,1.0,510.0,377.0,5463.0
30-34,1.0,449.0,379.0,0.0,32.0,22.0,0.0,1.0,3.0,0.0,49.0,46.0,0.0,27.0,34.0,2.0,1713.0,1561.0,1.0,505.0,340.0,5165.0
35-39,0.0,409.0,453.0,1.0,26.0,22.0,0.0,3.0,5.0,0.0,64.0,39.0,0.0,20.0,22.0,0.0,1857.0,1595.0,0.0,504.0,298.0,5318.0
40-44,1.0,434.0,400.0,0.0,27.0,19.0,0.0,7.0,6.0,0.0,45.0,37.0,0.0,29.0,21.0,1.0,1856.0,1616.0,0.0,480.0,341.0,5320.0
45-49,2.0,450.0,443.0,0.0,25.0,23.0,0.0,6.0,3.0,0.0,33.0,41.0,0.0,20.0,18.0,1.0,2230.0,1945.0,0.0,539.0,382.0,6161.0
50-54,1.0,439.0,419.0,0.0,22.0,18.0,0.0,0.0,5.0,0.0,29.0,33.0,0.0,16.0,19.0,0.0,2151.0,2035.0,0.0,564.0,399.0,6150.0
55-59,1.0,389.0,415.0,0.0,15.0,18.0,0.0,1.0,2.0,0.0,22.0,30.0,0.0,18.0,15.0,0.0,2135.0,2011.0,0.0,444.0,374.0,5890.0
60-64,2.0,292.0,328.0,1.0,11.0,12.0,0.0,1.0,1.0,0.0,21.0,11.0,0.0,20.0,9.0,2.0,1951.0,1778.0,0.0,340.0,254.0,5034.0
65-OVER,2.0,772.0,656.0,0.0,30.0,20.0,0.0,0.0,3.0,0.0,40.0,39.0,0.0,17.0,19.0,3.0,5571.0,4577.0,0.0,754.0,481.0,12984.0
TOTAL,11.0,4155.0,4040.0,2.0,219.0,185.0,0.0,22.0,30.0,0.0,371.0,322.0,1.0,192.0,192.0,13.0,21162.0,18680.0,2.0,4640.0,3246.0,57485.0
