-,MALE,FEMALE,UNKNOWN
UNKNOWN,23.08,24.53,0.0
OTHER,38.46,9.09,0.0
NATIVE-AM,100.0,100.0,0.0
HISP-LT,22.86,27.16,0.0
ASIA-PI,0.0,12.5,0.0
WHITE,40.46,38.9,33.33
BLACK,12.38,28.4,0.0
