-,MALE,FEMALE,UNKNOWN
UNKNOWN,8.93,13.83,0.0
OTHER,0.0,18.18,0.0
NATIVE-AM,0.0,33.33,0.0
HISP-LT,45.45,42.86,0.0
ASIA-PI,40.0,25.0,0.0
WHITE,40.04,41.13,0.0
BLACK,14.56,22.6,0.0
