-,MALE,FEMALE,UNKNOWN
UNKNOWN,15.15,24.0,0.0
OTHER,33.33,25.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,50.0,0.0
ASIA-PI,0.0,33.33,0.0
WHITE,40.0,34.74,0.0
BLACK,27.2,45.27,0.0
