AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,23.16,20.00,0.00,50.00,46.81,7.06,31.23
25-29,0.00,23.24,0.00,0.00,50.00,43.23,20.00,32.56
30-34,0.00,30.34,0.00,0.00,0.00,55.91,20.00,42.42
35-39,50.00,40.41,0.00,0.00,0.00,57.07,28.57,47.79
40-44,50.00,51.91,0.00,0.00,0.00,67.24,29.03,57.52
45-49,0.00,54.96,0.00,100.0,100.0,67.41,35.71,60.88
50-54,0.00,57.33,0.00,0.00,0.00,68.49,30.00,60.49
55-59,0.00,64.58,0.00,0.00,0.00,67.87,34.38,64.09
60-64,0.00,64.88,0.00,0.00,50.00,78.99,37.93,70.90
65-OVER,0.00,67.77,0.00,100.0,100.0,73.80,36.00,70.46
TOTAL,18.18,50.00,7.69,66.67,53.85,65.41,25.00,56.39
