-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,65.0,64.0,0.0,8.0,12.0,0.0,1.0,1.0,0.0,12.0,7.0,0.0,1.0,0.0,0.0,441.0,454.0,0.0,201.0,172.0,1439.0
30-34,0.0,50.0,75.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,2.0,1.0,0.0,434.0,396.0,0.0,174.0,142.0,1304.0
35-39,0.0,59.0,68.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,6.0,3.0,420.0,372.0,0.0,181.0,134.0,1263.0
40-44,0.0,50.0,54.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,2.0,3.0,0.0,408.0,392.0,0.0,134.0,132.0,1197.0
45-49,0.0,45.0,61.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,3.0,2.0,1.0,484.0,457.0,0.0,164.0,112.0,1346.0
50-54,0.0,61.0,55.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,4.0,7.0,0.0,6.0,0.0,1.0,484.0,496.0,0.0,185.0,140.0,1452.0
55-59,2.0,64.0,65.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,3.0,1.0,0.0,572.0,503.0,0.0,175.0,138.0,1541.0
60-64,0.0,43.0,45.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,0.0,452.0,446.0,1.0,171.0,144.0,1321.0
65-OVER,1.0,119.0,107.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,11.0,10.0,0.0,4.0,2.0,1.0,1348.0,1132.0,1.0,352.0,251.0,3344.0
TOTAL,3.0,556.0,594.0,1.0,38.0,46.0,0.0,7.0,5.0,0.0,60.0,54.0,0.0,26.0,16.0,6.0,5043.0,4648.0,2.0,1737.0,1365.0,14207.0
