AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,3075.0,0.0,163.0,133.0,0.0,26.0,13.0,0.0,1.0,0.0,0.0,51.0,30.0,0.0,11.0,8.0,2.0,1144.0,979.0,0.0,337.0,177.0
30-34,3802.0,0.0,273.0,184.0,0.0,15.0,14.0,0.0,0.0,3.0,0.0,52.0,36.0,0.0,13.0,9.0,1.0,1370.0,1163.0,0.0,466.0,203.0
35-39,4347.0,2.0,251.0,243.0,0.0,23.0,18.0,0.0,1.0,1.0,0.0,61.0,33.0,0.0,28.0,12.0,2.0,1612.0,1359.0,3.0,472.0,226.0
40-44,4882.0,0.0,260.0,213.0,1.0,26.0,16.0,0.0,1.0,1.0,0.0,56.0,44.0,0.0,36.0,23.0,6.0,1847.0,1581.0,0.0,527.0,244.0
45-49,6137.0,1.0,261.0,273.0,0.0,18.0,18.0,0.0,2.0,3.0,1.0,69.0,45.0,0.0,41.0,21.0,4.0,2392.0,2102.0,1.0,538.0,347.0
50-54,6643.0,1.0,289.0,285.0,0.0,26.0,23.0,0.0,0.0,5.0,0.0,60.0,61.0,0.0,32.0,17.0,4.0,2523.0,2403.0,0.0,561.0,353.0
55-59,6497.0,2.0,274.0,249.0,0.0,14.0,18.0,0.0,4.0,3.0,1.0,56.0,34.0,0.0,30.0,13.0,4.0,2444.0,2365.0,0.0,594.0,392.0
60-64,5603.0,3.0,197.0,176.0,0.0,15.0,16.0,0.0,0.0,1.0,0.0,26.0,38.0,0.0,12.0,12.0,3.0,2177.0,2114.0,1.0,491.0,321.0
65-OVER,13478.0,3.0,434.0,376.0,0.0,26.0,16.0,0.0,0.0,1.0,0.0,52.0,52.0,0.0,30.0,20.0,5.0,5679.0,5196.0,2.0,956.0,630.0
TOTAL,54464.0,12.0,2402.0,2132.0,1.0,189.0,152.0,0.0,9.0,18.0,2.0,483.0,373.0,0.0,233.0,135.0,31.0,21188.0,19262.0,7.0,4942.0,2893.0
