,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,PRESTON 1,0.0,61.19,71.43,100.0,44.44,79.47,43.24,70.52
1,TOTAL,0.0,61.19,71.43,100.0,44.44,79.47,43.24,70.52
