-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,15.0,20.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,1.0,1.0,217.0,182.0,0.0,225.0,161.0,843.0
30-34,0.0,13.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,1.0,2.0,0.0,215.0,190.0,0.0,195.0,111.0,763.0
35-39,0.0,14.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,3.0,3.0,1.0,239.0,211.0,0.0,192.0,89.0,780.0
40-44,1.0,11.0,15.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,213.0,181.0,0.0,159.0,81.0,676.0
45-49,0.0,12.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,2.0,1.0,0.0,235.0,226.0,0.0,178.0,83.0,762.0
50-54,0.0,13.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,241.0,221.0,0.0,154.0,108.0,756.0
55-59,0.0,11.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,4.0,0.0,278.0,231.0,0.0,195.0,122.0,865.0
60-64,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,287.0,257.0,0.0,190.0,145.0,912.0
65-OVER,1.0,26.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,3.0,1.0,927.0,760.0,0.0,380.0,238.0,2373.0
TOTAL,2.0,126.0,120.0,0.0,15.0,14.0,0.0,3.0,1.0,0.0,50.0,41.0,0.0,20.0,18.0,3.0,2852.0,2459.0,0.0,1868.0,1138.0,8730.0
