,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,DOUGLAS,33.64,45.25,28.71,29.17,25.29,58.86,22.77,51.6
1,AMBROSE,50.0,48.16,34.62,0.0,20.0,67.65,28.57,61.86
2,BRIDGETOWN,0.0,61.76,50.0,0.0,0.0,74.21,14.29,69.54
3,BROXTON,71.43,56.33,34.55,50.0,15.38,63.75,22.99,59.8
4,NICHOLLS,20.0,43.66,22.03,16.67,44.44,54.71,21.67,49.49
5,WEST GREEN,0.0,43.75,50.0,0.0,0.0,63.5,7.69,60.94
6,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,TOTAL,35.16,46.26,29.38,28.12,25.22,60.31,22.62,53.64
