-,MALE,FEMALE,UNKNOWN
UNKNOWN,27.27,34.78,0.0
OTHER,75.0,0.0,0.0
NATIVE-AM,0.0,100.0,0.0
HISP-LT,20.0,30.0,0.0
ASIA-PI,33.33,0.0,0.0
WHITE,40.23,39.56,0.0
BLACK,27.63,53.68,0.0
