,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,39 NEWBRANCH,64.01,65.71,0.0,64.8
1,43 CEDAR CROSSING,59.35,61.15,50.0,60.26
2,513 V.P.D.,56.53,59.95,80.0,58.43
3,514 S.T.I.A.L.C.,52.68,56.49,0.0,54.79
4,88888,inf,0.0,0.0,100.0
5,TOTAL,56.63,59.59,50.0,58.24
