AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,821.0,0.0,35.0,27.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,11.0,11.0,0.0,2.0,1.0,1.0,375.0,339.0,0.0,5.0,4.0
30-34,712.0,0.0,26.0,33.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,8.0,0.0,2.0,1.0,0.0,309.0,318.0,0.0,1.0,1.0
35-39,668.0,1.0,43.0,28.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,312.0,266.0,0.0,2.0,1.0
40-44,697.0,0.0,25.0,16.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,1.0,1.0,0.0,340.0,285.0,0.0,6.0,6.0
45-49,896.0,0.0,26.0,37.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,0.0,422.0,386.0,0.0,2.0,4.0
50-54,916.0,0.0,20.0,38.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,10.0,0.0,1.0,1.0,0.0,438.0,392.0,0.0,2.0,4.0
55-59,1070.0,0.0,30.0,34.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,2.0,3.0,2.0,514.0,457.0,0.0,3.0,2.0
60-64,1240.0,0.0,42.0,33.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,618.0,521.0,0.0,2.0,2.0
65-OVER,4238.0,0.0,107.0,118.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,4.0,4.0,0.0,2102.0,1873.0,0.0,7.0,3.0
TOTAL,11258.0,1.0,354.0,364.0,0.0,15.0,27.0,0.0,8.0,5.0,0.0,58.0,62.0,0.0,17.0,19.0,4.0,5430.0,4837.0,0.0,30.0,27.0
