-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,21.0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,167.0,127.0,0.0,17.0,18.0,369.0
30-34,2.0,19.0,12.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,144.0,133.0,0.0,28.0,15.0,361.0
35-39,1.0,23.0,12.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,194.0,146.0,0.0,50.0,16.0,455.0
40-44,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,161.0,173.0,0.0,39.0,22.0,424.0
45-49,0.0,15.0,13.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,274.0,232.0,0.0,49.0,30.0,621.0
50-54,0.0,11.0,17.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,258.0,241.0,0.0,55.0,31.0,624.0
55-59,0.0,15.0,12.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,294.0,278.0,0.0,54.0,49.0,712.0
60-64,0.0,15.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,311.0,295.0,0.0,60.0,35.0,727.0
65-OVER,0.0,20.0,36.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,786.0,748.0,0.0,118.0,81.0,1798.0
TOTAL,3.0,151.0,134.0,0.0,15.0,12.0,0.0,5.0,5.0,0.0,16.0,12.0,0.0,7.0,0.0,2.0,2589.0,2373.0,0.0,470.0,297.0,6091.0
