PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01,25.86,40.65,16.67,34.18
02,31.9,46.76,40.0,40.56
03,65.17,67.27,66.67,66.33
05,40.68,48.62,50.0,45.33
06,33.76,46.57,0.0,41.48
07,66.01,66.67,0.0,66.36
08,64.27,66.3,100.0,65.39
09,55.42,57.6,100.0,56.56
10,58.28,64.46,33.33,61.66
11,62.99,66.24,66.67,64.68
12,57.86,58.22,0.0,58.05
13,55.28,56.92,33.33,56.09
14,46.49,50.2,50.0,48.42
16,45.2,53.86,33.33,50.07
17,45.32,51.74,100.0,48.76
1714,0.0,0.0,0.0,0.0
19,58.44,63.87,0.0,61.33
20,58.66,61.91,0.0,60.35
21,66.09,68.94,50.0,67.57
31,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
88888,90.0,120.0,0.0,105.0
99999,4.76,7.14,0.0,5.95
TOTAL,52.25,57.26,46.0,54.97
