PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ARAGON,59.11,57.09,50.00,58.05
BLOOMING GROVE,55.76,54.11,0.00,54.90
CEDARTOWN,53.30,52.80,50.00,53.02
FISH CREEK,61.09,61.97,0.00,61.52
LAKE CREEK,62.90,64.85,33.33,63.88
ROCKMART,57.70,56.83,20.00,57.19
YOUNGS GROVE,59.23,58.80,0.00,58.98
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,57.81,57.19,35.00,57.46
