,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,NORTH JACKSON,54.51,56.03,33.33,55.31
1,WEST JACKSON,60.94,62.34,56.25,61.65
2,SOUTH JACKSON,55.55,58.52,28.57,57.03
3,88888,0.0,inf,0.0,100.0
4,TOTAL,57.39,59.12,44.83,58.28
