,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DRY BRANCH,50.0,55.66,50.0,33.33,36.36,56.85,28.18,54.27
2,GOLDEN ISLES,25.0,65.35,31.25,0.0,37.5,60.39,43.14,61.42
3,HIGGSVILLE,0.0,53.5,50.0,0.0,100.0,71.26,50.0,65.52
4,JEFFERSONVILLE/WARE,50.0,65.01,0.0,0.0,33.33,73.5,38.98,66.26
5,SHADY GROVE/TARVERS,100.0,64.27,0.0,0.0,33.33,70.11,44.44,65.71
6,TOTAL,50.0,63.32,30.77,25.0,41.94,64.02,38.51,61.9
