,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,CENTRAL,57.8,57.92,37.5,57.84
1,EAST,58.15,60.12,54.55,59.15
2,99999,0.0,0.0,0.0,0.0
3,TOTAL,57.95,58.95,47.37,58.45
