-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,37.07,0.0,0.0,33.33,42.86,17.65,37.96
30-34,0.0,49.74,0.0,0.0,33.33,49.77,60.87,49.55
35-39,66.67,59.89,0.0,50.0,50.0,51.61,33.33,53.85
40-44,100.0,65.48,60.0,0.0,0.0,51.63,40.0,56.67
45-49,0.0,69.95,0.0,0.0,33.33,67.81,58.62,67.71
50-54,100.0,68.89,33.33,0.0,50.0,66.67,50.0,66.67
55-59,0.0,70.2,33.33,0.0,75.0,70.96,38.3,67.96
60-64,33.33,75.74,50.0,0.0,100.0,73.6,51.72,73.1
65-OVER,0.0,76.95,50.0,0.0,0.0,75.16,37.7,74.17
TOTAL,53.85,65.82,31.43,25.0,42.31,65.73,41.64,64.08
