-,MALE,FEMALE,UNKNOWN
UNKNOWN,16.47,21.12,0.0
OTHER,22.88,21.46,0.0
NATIVE-AM,25.0,20.0,0.0
HISP-LT,18.26,23.08,100.0
ASIA-PI,25.23,21.28,0.0
WHITE,28.77,29.13,20.0
BLACK,18.29,31.65,20.0
