-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,23.08,27.72,14.29,36.36,19.35,34.51,23.55,30.96
30-34,21.95,40.38,25.84,54.55,37.04,44.76,31.73,41.54
35-39,35.71,45.78,40.0,62.5,30.61,48.7,34.5,45.8
40-44,45.0,52.74,37.39,66.67,46.88,50.96,44.29,49.67
45-49,50.85,63.54,50.94,50.0,84.62,57.12,44.86,56.51
50-54,26.32,66.58,54.1,83.33,61.9,63.38,54.67,62.15
55-59,47.62,69.23,51.11,100.0,50.0,68.92,46.15,66.32
60-64,44.0,72.73,65.62,75.0,57.14,71.66,43.36,69.34
65-OVER,50.0,73.06,54.76,100.0,61.9,72.58,46.48,70.24
TOTAL,38.36,56.68,40.36,58.49,46.12,58.23,40.47,55.3
