-,MALE,FEMALE,UNKNOWN
UNKNOWN,23.03,29.38,0.0
OTHER,34.78,26.92,100.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,15.79,23.33,0.0
ASIA-PI,25.0,14.29,0.0
WHITE,38.24,36.98,0.0
BLACK,21.07,38.07,0.0
