-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,24.32,28.53,29.67,40.0,30.77,36.58,22.74,33.14
30-34,25.0,38.12,30.86,10.0,37.5,42.75,32.61,40.45
35-39,27.03,42.3,41.57,18.18,63.64,51.49,36.32,48.18
40-44,45.71,53.91,45.07,50.0,51.16,56.24,40.03,53.84
45-49,33.33,56.39,41.73,40.0,51.61,61.91,41.6,58.71
50-54,51.35,64.19,47.17,62.5,55.0,67.55,42.3,64.23
55-59,39.29,60.21,56.88,20.0,65.38,67.57,41.3,64.21
60-64,43.33,68.57,49.21,33.33,64.71,72.27,44.67,69.24
65-OVER,37.25,70.45,42.99,71.43,31.58,71.7,46.7,69.33
TOTAL,35.95,53.1,40.23,36.84,47.98,60.79,37.75,57.05
