-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,33.33,0.0,0.0,0.0,26.09,36.36,32.05
30-34,0.0,40.91,0.0,0.0,100.0,67.86,33.33,46.21
35-39,100.0,55.0,0.0,0.0,0.0,62.75,0.0,57.79
40-44,0.0,52.86,0.0,0.0,0.0,60.87,25.0,55.0
45-49,0.0,60.81,0.0,0.0,0.0,57.78,9.09,55.38
50-54,0.0,63.16,0.0,0.0,0.0,66.15,28.57,62.42
55-59,0.0,67.44,0.0,0.0,0.0,68.25,20.0,66.23
60-64,100.0,75.79,100.0,0.0,0.0,83.12,66.67,79.21
65-OVER,0.0,69.72,0.0,0.0,0.0,81.71,66.67,76.26
TOTAL,50.0,58.55,100.0,0.0,50.0,73.13,35.0,63.8
