PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
SHERWOOD ELEM,4.0,155.0,139.0,0.0,14.0,17.0,0.0,2.0,1.0,0.0,26.0,23.0,0.0,19.0,15.0,2.0,806.0,539.0,11.0,1094.0,655.0,3522.0
COVENANT CHURCH,5.0,66.0,107.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,15.0,10.0,0.0,6.0,4.0,2.0,625.0,522.0,7.0,581.0,462.0,2428.0
GREENBRIAR CHURCH,2.0,116.0,105.0,0.0,16.0,15.0,0.0,4.0,1.0,0.0,17.0,22.0,0.0,19.0,21.0,2.0,1077.0,970.0,4.0,920.0,646.0,3957.0
WESTOVER HIGH,3.0,85.0,105.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,14.0,11.0,0.0,26.0,18.0,0.0,868.0,723.0,4.0,1034.0,640.0,3547.0
MERRY ACRES MIDDLE,2.0,73.0,89.0,0.0,6.0,13.0,0.0,2.0,1.0,0.0,6.0,8.0,0.0,9.0,7.0,2.0,796.0,654.0,7.0,538.0,385.0,2598.0
DARTON COLLEGE,7.0,160.0,165.0,0.0,16.0,8.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,6.0,4.0,1.0,438.0,414.0,13.0,1947.0,1284.0,4478.0
WESTTOWN ELEM,7.0,106.0,127.0,0.0,8.0,9.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,4.0,0.0,3.0,95.0,63.0,12.0,1617.0,1175.0,3235.0
2ND MT ZION CHURCH,0.0,51.0,60.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,4.0,411.0,361.0,4.0,310.0,237.0,1455.0
MT ZION CENTER,8.0,131.0,171.0,3.0,9.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,37.0,21.0,53.0,2068.0,1359.0,3873.0
ALICE COACHMAN ELEM,0.0,18.0,27.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,416.0,277.0,760.0
CARVER TEEN CENTER,8.0,47.0,78.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,21.0,11.0,29.0,937.0,709.0,1860.0
SHILOH BAPTIST CHURC,6.0,50.0,75.0,0.0,8.0,3.0,0.0,3.0,2.0,0.0,2.0,8.0,0.0,1.0,3.0,0.0,38.0,31.0,34.0,821.0,589.0,1674.0
LITMAN CATHEDRAL,3.0,54.0,54.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,44.0,27.0,21.0,770.0,555.0,1549.0
PHOEBE HEALTHWORKS,10.0,77.0,86.0,0.0,8.0,6.0,0.0,0.0,2.0,0.0,12.0,5.0,0.0,3.0,5.0,0.0,169.0,153.0,28.0,764.0,572.0,1900.0
TURNER ELEM SCHOOL,7.0,88.0,112.0,0.0,14.0,11.0,0.0,0.0,0.0,1.0,10.0,9.0,0.0,1.0,2.0,1.0,39.0,54.0,14.0,696.0,640.0,1699.0
JACKSON HEIGHTS ELEM,6.0,84.0,105.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,16.0,5.0,25.0,1457.0,991.0,2712.0
BILL MILLER CENTER,9.0,111.0,74.0,0.0,9.0,9.0,0.0,2.0,2.0,0.0,4.0,6.0,0.0,1.0,1.0,1.0,101.0,72.0,29.0,1222.0,848.0,2501.0
RADIUM MIDDLE SCHOOL,1.0,20.0,31.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,124.0,111.0,0.0,226.0,208.0,741.0
PUTNEY 1ST BAPT CHUR,5.0,100.0,134.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,15.0,7.0,0.0,0.0,2.0,1.0,660.0,643.0,4.0,662.0,551.0,2790.0
INTERNATIONAL STUDIE,1.0,39.0,57.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,18.0,12.0,0.0,3.0,0.0,0.0,162.0,136.0,4.0,354.0,264.0,1056.0
PHOEBE EAST,12.0,139.0,142.0,0.0,11.0,7.0,0.0,1.0,4.0,1.0,16.0,15.0,0.0,6.0,7.0,1.0,227.0,150.0,16.0,1502.0,1107.0,3364.0
PINE BLUFF BAPT CHUR,6.0,71.0,100.0,0.0,10.0,5.0,0.0,1.0,1.0,0.0,14.0,10.0,0.0,3.0,7.0,1.0,360.0,335.0,6.0,707.0,524.0,2161.0
ALBANY MIDDLE SCHOOL,7.0,77.0,84.0,1.0,13.0,4.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,1.0,3.0,0.0,65.0,55.0,19.0,1012.0,663.0,2016.0
CHRIST CHURCH,1.0,50.0,58.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,6.0,12.0,0.0,686.0,617.0,0.0,254.0,231.0,1942.0
LAMAR REESE ELEM SCH,4.0,24.0,37.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,16.0,2.0,538.0,431.0,1084.0
1ST CHRISTIAN CHURCH,0.0,52.0,62.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,9.0,10.0,1.0,8.0,12.0,1.0,564.0,477.0,5.0,284.0,238.0,1735.0
LOVETT HALL,8.0,54.0,27.0,0.0,9.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,16.0,18.0,10.0,977.0,433.0,1567.0
88888,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,16.0,22.0,52.0
99999,8.0,4.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,14.0,23.0,22.0,45.0,140.0
TOTAL,140.0,2102.0,2420.0,8.0,215.0,166.0,0.0,27.0,24.0,4.0,230.0,200.0,1.0,131.0,133.0,28.0,8488.0,7202.0,390.0,23747.0,16741.0,62397.0
