-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,20.0,0.0,25.0,28.57,40.63,35.53,39.11
30-34,33.33,0.0,25.0,0.0,25.0,49.08,42.37,48.02
35-39,0.0,20.0,40.0,0.0,33.33,52.76,36.54,51.21
40-44,0.0,0.0,33.33,0.0,100.0,60.12,41.07,58.63
45-49,60.0,100.0,54.55,100.0,50.0,62.33,48.39,61.5
50-54,90.0,33.33,50.0,0.0,33.33,69.31,63.64,68.65
55-59,100.0,0.0,64.29,50.0,100.0,72.11,60.33,71.19
60-64,87.5,0.0,100.0,100.0,57.14,77.26,68.66,76.74
65-OVER,40.0,75.0,76.92,66.67,71.43,76.22,76.38,76.14
TOTAL,56.86,34.48,53.0,60.0,56.0,69.43,62.55,68.74
