-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,50.0,32.46,33.33,0.0,50.0,49.55,18.75,38.61
30-34,100.0,38.29,0.0,0.0,0.0,53.48,18.0,44.09
35-39,28.57,44.2,0.0,100.0,0.0,57.71,22.5,50.54
40-44,25.0,50.77,33.33,0.0,100.0,62.9,22.0,55.07
45-49,0.0,62.13,40.0,0.0,100.0,71.54,33.33,66.21
50-54,100.0,59.31,100.0,0.0,0.0,70.74,35.19,63.77
55-59,0.0,64.11,0.0,0.0,0.0,69.65,32.65,65.19
60-64,25.0,65.2,0.0,50.0,100.0,81.36,25.0,72.2
65-OVER,50.0,70.54,100.0,50.0,71.43,80.56,35.9,75.68
TOTAL,41.67,56.17,42.86,50.0,65.0,70.21,27.04,62.29
