,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,BRANTLEYS,33.33,68.89,66.67,50.0,0.0,77.96,60.78,76.17
1,BURGAYS,55.56,77.3,80.0,100.0,60.0,77.57,63.87,76.53
2,CABANISS,50.0,69.35,25.0,100.0,100.0,65.53,43.08,64.39
3,COX,25.0,61.29,0.0,0.0,50.0,75.63,63.83,72.16
4,CULLODEN,0.0,70.49,0.0,0.0,0.0,71.33,53.33,68.88
5,DILLARDS,50.0,61.45,16.67,0.0,57.14,67.38,45.59,64.5
6,EVERS,60.0,68.12,53.85,100.0,36.36,68.18,49.64,66.47
7,FORSYTH,38.46,59.3,28.57,75.0,35.0,64.18,38.27,59.75
8,HIGH FALLS,44.44,66.34,27.27,25.0,45.0,57.81,43.96,56.19
9,KELSEYS,0.0,66.67,66.67,0.0,50.0,73.06,46.88,69.07
10,MIDDLEBROOKS,100.0,63.93,25.0,100.0,66.67,71.03,43.02,68.33
11,PROCTORS,0.0,50.59,30.77,0.0,55.56,60.28,45.45,56.73
12,RUSSELLVILLE,0.0,60.27,0.0,0.0,50.0,71.98,34.48,67.34
13,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,TOTAL,43.01,61.98,41.18,57.89,50.49,68.72,46.87,65.3
