-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,10.0,25.0,26.12,0.0,22.22,42.14,37.62,34.99
30-34,30.77,33.73,33.33,0.0,33.33,53.72,36.08,45.38
35-39,58.82,39.31,45.59,50.0,46.67,59.12,48.81,51.99
40-44,41.18,41.93,25.71,50.0,25.0,64.33,37.25,55.58
45-49,43.75,53.6,30.0,0.0,16.67,69.18,58.11,63.06
50-54,35.0,53.24,30.0,0.0,50.0,71.94,32.31,64.02
55-59,50.0,56.68,38.71,33.33,54.55,75.35,42.86,68.13
60-64,16.67,66.99,60.0,0.0,57.14,77.58,50.0,73.62
65-OVER,35.0,62.14,37.04,0.0,76.0,75.14,38.24,71.43
TOTAL,39.07,48.04,33.61,25.0,46.23,67.56,41.87,60.27
