,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,COLHAM FERRY,72.52,74.51,50.0,73.51
1,ANTIOCH,67.83,72.49,50.0,70.13
2,FARMINGTON,67.8,72.14,0.0,69.93
3,BISHOP,71.55,70.85,50.0,71.17
4,HIGH SHOALS,74.21,75.1,60.0,74.63
5,NORTH OCONEE,66.38,70.5,50.0,68.43
6,DARK CORNER,70.68,73.2,100.0,72.01
7,BOGART,64.59,66.82,66.67,65.76
8,MALCOM BRIDGE,70.88,70.91,60.0,70.88
9,ATHENS ACADEMY,68.03,69.78,60.0,68.93
10,CIVIC CENTER,69.66,70.34,57.14,70.0
11,CITY HALL,66.59,69.36,20.0,67.97
12,TOTAL,69.48,71.06,57.14,70.28
