,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,OCILLA,25.0,53.37,25.81,50.0,75.0,67.49,33.33,61.14
1,HOLT,66.67,63.27,22.22,0.0,0.0,75.73,40.0,72.17
2,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TOTAL,33.33,54.04,25.0,50.0,75.0,69.09,34.38,62.83
