-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,23.26,16.67,0.0,0.0,46.75,15.79,38.62
30-34,0.0,37.7,0.0,0.0,0.0,59.26,41.67,50.52
35-39,0.0,52.59,40.0,0.0,0.0,63.27,37.5,58.76
40-44,50.0,52.81,0.0,100.0,100.0,66.88,20.0,63.02
45-49,100.0,61.29,33.33,0.0,0.0,69.63,62.5,67.47
50-54,0.0,62.81,16.67,0.0,50.0,73.26,46.15,68.99
55-59,0.0,59.57,66.67,0.0,100.0,76.81,44.44,71.25
60-64,0.0,66.67,100.0,0.0,100.0,74.46,33.33,72.37
65-OVER,100.0,69.97,0.0,0.0,66.67,77.64,56.0,75.6
TOTAL,33.33,55.86,23.53,50.0,70.0,70.04,40.71,65.55
