AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,28.57,32.2,27.78,29.17,32.36,35.01,20.0,30.98
30-34,29.87,40.23,28.35,40.0,31.42,37.3,26.19,36.76
35-39,23.85,49.48,26.46,44.44,43.6,42.16,28.46,43.67
40-44,41.89,56.24,41.67,27.27,42.36,50.51,33.85,51.19
45-49,38.46,61.5,49.64,50.0,56.14,57.71,37.72,56.98
50-54,49.35,66.54,41.86,44.44,58.06,60.64,38.34,60.91
55-59,46.74,70.44,53.85,62.5,55.06,65.07,43.39,65.3
60-64,48.28,75.72,52.63,61.54,67.01,68.99,42.72,69.77
65-OVER,48.96,76.57,51.03,22.22,57.87,72.18,47.58,71.9
TOTAL,38.81,59.06,38.15,39.68,45.32,57.62,33.54,54.94
